execution	target_folder	target_label	sampled_reads_R	sampled_reads_mapped	sampled_reads_canonical_confirmed	median_divergence_aligned_pct	q25_divergence_aligned_pct	q75_divergence_aligned_pct	median_query_coverage_pct	reads_coverage_ge_70	reads_coverage_ge_80	reads_coverage_ge_90
Lib3barcode72	montagens_CALHV3	CalHV3	300	70	70	4.401004304160689	2.8708133971291865	9.341104095839405	88.646288209607	58	57	29
Lib3barcode72	montagens_Cebus_albifrons_lymphocryptovirus_1	Cebus_albifrons_LCV1	300	0	0					0	0	0
Lib3barcode73	montagens_CALHV3	CalHV3	300	37	37	2.912621359223301	2.4630541871921183	4.7368421052631575	88.59649122807018	32	31	14
Lib3barcode75	montagens_CALHV3	CalHV3	300	0	0					0	0	0
Lib3barcode76	montagens_CALHV3	CalHV3	300	75	75	6.666666666666667	5.881196939524159	8.095238095238095	89.42731277533039	60	55	32
Lib3barcode78	montagens_CALHV3	CalHV3	300	0	0					0	0	0
Lib3barcode80	montagens_Alouatta_macconnelli_cytomegalovirus	AmacCMV	300	74	74	9.70873786407767	9.090909090909092	10.278255059182895	92.71568359907997	74	72	59
Lib3barcode80	montagens_Alouatta_palliata_cytomegalovirus	ApalCMV	300	111	111	9.137055837563452	8.50531914893617	10.0	85.84070796460178	104	89	13
Lib3barcode81	montagens_Cebus_albifrons_lymphocryptovirus_1	Cebus_albifrons_LCV1	300	106	106	5.759320175438597	3.8862943194815096	10.325727513227513	87.56095749684383	67	64	13
Lib3barcode82	montagens_CALHV3	CalHV3	300	0	0					0	0	0
Lib3barcode84	montagens_CALHV3	CalHV3	300	106	106	3.349282296650718	1.9811882170132575	7.034361577508786	87.49870801033592	83	76	40
Lib3barcode85	montagens_CALHV3	CalHV3	300	115	115	6.944444444444445	5.304063654447286	8.8638195004029	88.646288209607	85	78	46
Lib3barcode86	montagens_CALHV3	CalHV3	300	0	0					0	0	0
Lib3barcode87	montagem_LIB_3_HSV7	HSV7	300	27	27	2.0833333333333335	1.2076240360832242	5.710312021285173	42.0911528150134	3	1	0
Lib3barcode87	montagens_consenso_H1	H1_internal	300	6	6	4.139359698681733	2.9661016949152543	5.186979931473324	73.8434055952525	3	3	3
Lib3barcode88	montagens_CALHV3	CalHV3	19	0	0					0	0	0
Lib3barcode90	montagens_CALHV3	CalHV3	300	113	113	3.5211267605633805	2.3923444976076556	7.17948717948718	88.83720930232558	97	90	49
Lib3barcode92	montagens_CALHV3	CalHV3	300	50	50	4.115133459721345	2.075918636717185	8.520745774836806	89.19346978557505	39	35	22
