execution	qc_flags	input_reads_competitive	mapped_any_target	unmapped	reads_one_reported_target	reads_multiple_reported_targets	reads_unique_best_AS	reads_tied_best_AS	dedup_records_removed	dedup_fraction_removed	dedup_duplicate_ids_resolved	dedup_conflicting_ids_resolved	multitarget_fraction_of_mapped	tied_fraction_of_mapped	locus_signal_model	taxonomic_resolution_note	two_haplotype_evidence	meta_library	meta_barcode	meta_barcode_number	meta_n_targets	meta_targets	meta_present_in_blast_folder	meta_n_raw_fastq_copies	meta_n_trimmed_fastq_copies	meta_raw_fastq_unique_sizes	meta_trimmed_fastq_unique_sizes	meta_raw_fastq_consistent_size	meta_trimmed_fastq_consistent_size	orig_library	orig_barcode	orig_total_reads	orig_kraken_classified	orig_kraken_taxon	orig_kraken_rank	orig_kraken_taxid	orig_kraken_genus	orig_kraken_genus_taxid	orig_kraken_clade_reads	orig_kraken_direct_reads	orig_kraken_minimizers	orig_kraken_distinct_minimizers	orig_kraken_distinct_fraction	orig_blast_filtered_reads	orig_blast_strong_reads	orig_blast_divergent_reads	orig_blast_top_class	orig_blast_top_taxid	orig_blast_top_organism	orig_blast_genus	orig_blast_genus_taxid	orig_blast_top_support_reads	orig_best_pident	orig_best_coverage	orig_best_aln_len	orig_best_bitscore	orig_concordance	orig_evidence_level	orig_status	fastq_raw_same_content_7_targets	fastq_trimmed_same_content_7_targets	fastq_content_validation_status	original_evidence_category	original_top_organism	original_status
Lib1barcode51	OK	1235	742	493	742	0	742	0	0	0.0	0	0	0.0	0.0				Lib1	barcode51	51	7	montagem_LIB_3_HSV6;montagem_LIB_3_HSV7;montagens_Alouatta_macconnelli_cytomegalovirus;montagens_Alouatta_palliata_cytomegalovirus;montagens_CALHV3;montagens_Cebus_albifrons_lymphocryptovirus_1;montagens_consenso_H1	1	7	7	417340	305102;305182;305315;305411;305450;305460;305534	1	0	Lib1	barcode51	1505	819	Lymphocryptovirus callitrichinegamma3	S	3050250	Lymphocryptovirus	10375	99	0	832	40	4.81	762	172	590	FORTE	106331	callitrichine gammaherpesvirus 3	Lymphocryptovirus	10375	169	98.261	99.57	230	395.0	SIM_HIERARQUICA	A_MUITO_FORTE	OK	1	1	VALIDATED_SAME_CONTENT_7_TARGETS	A_MUITO_FORTE	Lymphocryptovirus callitrichinegamma3	OK
Lib1barcode52	OK	2012	622	1390	622	0	622	0	0	0.0	0	0	0.0	0.0				Lib1	barcode52	52	7	montagem_LIB_3_HSV6;montagem_LIB_3_HSV7;montagens_Alouatta_macconnelli_cytomegalovirus;montagens_Alouatta_palliata_cytomegalovirus;montagens_CALHV3;montagens_Cebus_albifrons_lymphocryptovirus_1;montagens_consenso_H1	1	7	7	702790	506854;506967;506976;507031;507096;507131;507432	1	0	Lib1	barcode52	2565	664	Lymphocryptovirus callitrichinegamma3	S	3050250	Lymphocryptovirus	10375	81	0	753	44	5.84	622	195	427	FORTE	106331	callitrichine gammaherpesvirus 3	Lymphocryptovirus	10375	194	98.684	99.56	228	398.0	SIM_HIERARQUICA	A_MUITO_FORTE	OK	1	1	VALIDATED_SAME_CONTENT_7_TARGETS	A_MUITO_FORTE	Lymphocryptovirus callitrichinegamma3	OK
Lib1barcode53	OK	4436	1082	3354	1082	0	1082	0	0	0.0	0	0	0.0	0.0				Lib1	barcode53	53	7	montagem_LIB_3_HSV6;montagem_LIB_3_HSV7;montagens_Alouatta_macconnelli_cytomegalovirus;montagens_Alouatta_palliata_cytomegalovirus;montagens_CALHV3;montagens_Cebus_albifrons_lymphocryptovirus_1;montagens_consenso_H1	1	7	7	1500894	1169083;1169161;1169300;1169475;1170054;1170239;1170301	1	0	Lib1	barcode53	5347	1141	Lymphocryptovirus callitrichinegamma3	S	3050250	Lymphocryptovirus	10375	155	0	1340	47	3.51	1101	379	722	FORTE	106331	callitrichine gammaherpesvirus 3	Lymphocryptovirus	10375	379	98.690	100.00	229	400.0	SIM_HIERARQUICA	A_MUITO_FORTE	OK	1	1	VALIDATED_SAME_CONTENT_7_TARGETS	A_MUITO_FORTE	Lymphocryptovirus callitrichinegamma3	OK
Lib1barcode54	OK	2759	801	1958	801	0	801	0	0	0.0	0	0	0.0	0.0				Lib1	barcode54	54	7	montagem_LIB_3_HSV6;montagem_LIB_3_HSV7;montagens_Alouatta_macconnelli_cytomegalovirus;montagens_Alouatta_palliata_cytomegalovirus;montagens_CALHV3;montagens_Cebus_albifrons_lymphocryptovirus_1;montagens_consenso_H1	1	7	7	947795	728458;728473;728755;729000;729005;729170;729262	1	0	Lib1	barcode54	3393	868	Lymphocryptovirus callitrichinegamma3	S	3050250	Lymphocryptovirus	10375	118	0	999	46	4.60	820	263	557	FORTE	106331	callitrichine gammaherpesvirus 3	Lymphocryptovirus	10375	262	98.246	99.56	228	394.0	SIM_HIERARQUICA	A_MUITO_FORTE	OK	1	1	VALIDATED_SAME_CONTENT_7_TARGETS	A_MUITO_FORTE	Lymphocryptovirus callitrichinegamma3	OK
Lib1barcode55	OK	3035	416	2619	416	0	416	0	0	0.0	0	0	0.0	0.0				Lib1	barcode55	55	7	montagem_LIB_3_HSV6;montagem_LIB_3_HSV7;montagens_Alouatta_macconnelli_cytomegalovirus;montagens_Alouatta_palliata_cytomegalovirus;montagens_CALHV3;montagens_Cebus_albifrons_lymphocryptovirus_1;montagens_consenso_H1	1	7	7	886006	662999;663154;663156;663209;663324;663440;663496	1	0	Lib1	barcode55	3815	438	Lymphocryptovirus callitrichinegamma3	S	3050250	Lymphocryptovirus	10375	121	0	811	35	4.32	386	148	238	FORTE	106331	callitrichine gammaherpesvirus 3	Lymphocryptovirus	10375	148	99.123	99.56	228	403.0	SIM_HIERARQUICA	A_MUITO_FORTE	OK	1	1	VALIDATED_SAME_CONTENT_7_TARGETS	A_MUITO_FORTE	Lymphocryptovirus callitrichinegamma3	OK
Lib1barcode56	OK	2648	374	2274	374	0	374	0	0	0.0	0	0	0.0	0.0				Lib1	barcode56	56	7	montagem_LIB_3_HSV6;montagem_LIB_3_HSV7;montagens_Alouatta_macconnelli_cytomegalovirus;montagens_Alouatta_palliata_cytomegalovirus;montagens_CALHV3;montagens_Cebus_albifrons_lymphocryptovirus_1;montagens_consenso_H1	1	7	7	986356	730051;730166;730446;730499;730641;730644;730762	1	0	Lib1	barcode56	3406	411	Lymphocryptovirus callitrichinegamma3	S	3050250	Lymphocryptovirus	10375	91	0	704	41	5.82	398	138	260	FORTE	106331	callitrichine gammaherpesvirus 3	Lymphocryptovirus	10375	138	99.123	99.56	228	403.0	SIM_HIERARQUICA	A_MUITO_FORTE	OK	1	1	VALIDATED_SAME_CONTENT_7_TARGETS	A_MUITO_FORTE	Lymphocryptovirus callitrichinegamma3	OK
Lib1barcode57	OK	3733	2190	1543	2190	0	2190	0	0	0.0	0	0	0.0	0.0				Lib1	barcode57	57	7	montagem_LIB_3_HSV6;montagem_LIB_3_HSV7;montagens_Alouatta_macconnelli_cytomegalovirus;montagens_Alouatta_palliata_cytomegalovirus;montagens_CALHV3;montagens_Cebus_albifrons_lymphocryptovirus_1;montagens_consenso_H1	1	7	7	1131717	837815;838238;838540;838719;838811;838841;839090	1	0	Lib1	barcode57	4478	2323	Lymphocryptovirus callitrichinegamma3	S	3050250	Lymphocryptovirus	10375	312	0	2629	71	2.70	2213	811	1402	FORTE	106331	callitrichine gammaherpesvirus 3	Lymphocryptovirus	10375	810	98.684	99.56	228	398.0	SIM_HIERARQUICA	A_MUITO_FORTE	OK	1	1	VALIDATED_SAME_CONTENT_7_TARGETS	A_MUITO_FORTE	Lymphocryptovirus callitrichinegamma3	OK
Lib1barcode58	OK	6739	446	6293	446	0	446	0	0	0.0	0	0	0.0	0.0				Lib1	barcode58	58	7	montagem_LIB_3_HSV6;montagem_LIB_3_HSV7;montagens_Alouatta_macconnelli_cytomegalovirus;montagens_Alouatta_palliata_cytomegalovirus;montagens_CALHV3;montagens_Cebus_albifrons_lymphocryptovirus_1;montagens_consenso_H1	1	7	7	2507096	1951098;1951663;1951677;1952248;1952378;1952388;1952460	1	0	Lib1	barcode58	8279	475	Simplexvirus humanalpha1	S	3050292	Simplexvirus	10294	53	0	659	216	32.78	450	115	335	FORTE	10298	Human alphaherpesvirus 1	Simplexvirus	10294	115	97.512	96.63	402	666.0	SIM_HIERARQUICA	A_MUITO_FORTE	OK	1	1	VALIDATED_SAME_CONTENT_7_TARGETS	A_MUITO_FORTE	Simplexvirus humanalpha1	OK
Lib1barcode59	OK	2863	1543	1320	1543	0	1543	0	0	0.0	0	0	0.0	0.0				Lib1	barcode59	59	7	montagem_LIB_3_HSV6;montagem_LIB_3_HSV7;montagens_Alouatta_macconnelli_cytomegalovirus;montagens_Alouatta_palliata_cytomegalovirus;montagens_CALHV3;montagens_Cebus_albifrons_lymphocryptovirus_1;montagens_consenso_H1	1	7	7	1006225	755680;755947;756063;756185;756235;756252;756766	1	0	Lib1	barcode59	3396	1635	Lymphocryptovirus callitrichinegamma3	S	3050250	Lymphocryptovirus	10375	209	0	1853	52	2.81	1556	622	934	FORTE	106331	callitrichine gammaherpesvirus 3	Lymphocryptovirus	10375	621	99.123	99.56	228	403.0	SIM_HIERARQUICA	A_MUITO_FORTE	OK	1	1	VALIDATED_SAME_CONTENT_7_TARGETS	A_MUITO_FORTE	Lymphocryptovirus callitrichinegamma3	OK
Lib1barcode60	OK	371	214	157	214	0	214	0	0	0.0	0	0	0.0	0.0				Lib1	barcode60	60	7	montagem_LIB_3_HSV6;montagem_LIB_3_HSV7;montagens_Alouatta_macconnelli_cytomegalovirus;montagens_Alouatta_palliata_cytomegalovirus;montagens_CALHV3;montagens_Cebus_albifrons_lymphocryptovirus_1;montagens_consenso_H1	1	7	7	122032	85347;85367;85381;85387;85411;85458;85459	1	0	Lib1	barcode60	446	225	Lymphocryptovirus callitrichinegamma3	S	3050250	Lymphocryptovirus	10375	28	0	240	27	11.25	218	85	133	FORTE	106331	callitrichine gammaherpesvirus 3	Lymphocryptovirus	10375	84	98.684	99.56	228	398.0	SIM_HIERARQUICA	A_MUITO_FORTE	OK	1	1	VALIDATED_SAME_CONTENT_7_TARGETS	A_MUITO_FORTE	Lymphocryptovirus callitrichinegamma3	OK
