execution	candidate_targets	reads_input	references_input	consensuses_input	reads_retained	references_retained	consensuses_retained	entities_dropped_low_overlap	dropped_ids	minimum_comparable_columns	PCoA1_var_pct	PCoA2_var_pct
Lib2barcode75	CalHV3|H1_internal	41	2	2	41	2	2	0		40	25.7491024209926	4.63492832335794
Lib2barcode76	AmacCMV|ApalCMV	45	2	2	45	2	2	0		40	5.41390784484299	3.73112845533216
Lib2barcode79	CalHV3	95	1	1	95	1	1	0		40	2.67916889877211	2.32186190149795
Lib2barcode81	Cebus_albifrons_LCV1	128	1	1	128	1	1	0		40	2.46342242767792	1.87270097658824
Lib2barcode82	AmacCMV|ApalCMV	10	2	2	10	2	2	0		40	21.7378435313856	13.874885106991
Lib2barcode85	CalHV3	104	1	1	104	1	1	0		40	3.63795131327521	2.36078926721299
Lib2barcode86	CalHV3	111	1	1	111	1	1	0		40	2.6189143658906	2.2338695935768
Lib2barcode87	CalHV3	89	1	1	89	1	1	0		40	3.11046852323483	2.46005820425893
Lib2barcode89	CalHV3	185	1	1	185	1	1	0		40	1.25526890209436	1.06036398602174
Lib2barcode90	CalHV3	99	1	1	99	1	1	0		40	3.15436401719873	2.61152914324482
Lib2barcode91	CalHV3	53	1	1	53	1	1	0		40	4.33185807879939	3.50297405142897
Lib2barcode95	HSV6|HSV7	230	2	2	230	2	2	0		40	2.13773634710817	0.932275990765275
Lib3barcode01	CalHV3	95	1	1	95	1	1	0		40	2.84183343001236	2.08719496934703
Lib3barcode03	CalHV3	107	1	1	107	1	1	0		40	1.52139815276932	1.33920152650137
Lib3barcode09	CalHV3	90	1	1	90	1	1	0		40	1.95959056134574	1.65487717408
Lib3barcode10	CalHV3	111	1	1	111	1	1	0		40	2.11398557457909	1.5415412042962
Lib3barcode12	CalHV3	55	1	1	55	1	1	0		40	6.66851712968057	4.63338137553849
Lib3barcode15	AmacCMV|ApalCMV	40	2	2	40	2	2	0		40	5.32047543552444	4.07323937836565
Lib3barcode17	CalHV3	153	1	1	153	1	1	0		40	1.30588343367472	0.982703967138274
Lib3barcode20	CalHV3	68	1	1	68	1	1	0		40	2.50383180765613	2.25682751742385
Lib3barcode21	CalHV3	31	1	1	31	1	1	0		40	10.8456912421933	9.01077347161056
Lib3barcode25	CalHV3	17	1	1	17	1	1	0		40	17.1000307406754	12.4488814377129
Lib3barcode26	CalHV3	53	1	1	53	1	1	0		40	4.02072826045436	3.01394479074771
Lib3barcode27	CalHV3	106	1	1	106	1	1	0		40	2.10443938736701	1.43733543679097
Lib3barcode31	CalHV3	58	1	1	58	1	1	0		40	3.46237618729587	3.07952917682541
Lib3barcode32	CalHV3	57	1	1	57	1	1	0		40	3.90271216147596	2.93314893225383
Lib3barcode33	CalHV3	122	1	1	122	1	1	0		40	2.42582452416135	1.90990233376142
Lib3barcode34	CalHV3	74	1	1	74	1	1	0		40	2.75075790906769	2.2502105621313
Lib3barcode35	CalHV3	65	1	1	65	1	1	0		40	4.10360084523195	3.98054411479126
Lib3barcode36	CalHV3	61	1	1	61	1	1	0		40	4.13423197610024	2.83352621856005
Lib3barcode37	CalHV3	67	1	1	67	1	1	0		40	2.25015638123579	2.04474639962104
Lib3barcode39	CalHV3	93	1	1	93	1	1	0		40	2.42528303114559	1.96170081529921
Lib3barcode45	CalHV3	119	1	1	119	1	1	0		40	1.7898915595247	1.25175792009386
Lib3barcode50	CalHV3	95	1	1	95	1	1	0		40	2.88921773748678	2.23149092887491
Lib3barcode53	CalHV3	46	1	1	46	1	1	0		40	6.14801299374481	3.61811677517184
Lib3barcode54	CalHV3	81	1	1	81	1	1	0		40	2.94943270796764	2.49077365150475
Lib3barcode57	CalHV3	46	1	1	46	1	1	0		40	5.9908555657818	5.36197309781661
Lib3barcode58	CalHV3	66	1	1	66	1	1	0		40	3.78792994077993	2.77444750260293
Lib3barcode60	CalHV3	103	1	1	103	1	1	0		40	2.02519181245001	1.4252215949716
Lib3barcode61	CalHV3	63	1	1	63	1	1	0		40	2.85925855519747	2.58154728184038
Lib3barcode62	CalHV3	60	1	1	60	1	1	0		40	3.38801411689406	2.75336279666867
Lib3barcode64	CalHV3	23	1	1	23	1	1	0		40	13.3228206114061	9.31429342413859
Lib3barcode67	CalHV3	24	1	1	24	1	1	0		40	13.1898461473328	8.26033067368638
Lib3barcode70	CalHV3	54	1	1	54	1	1	0		40	3.25761930371725	2.87199847194177
Lib3barcode71	CalHV3	69	1	1	69	1	1	0		40	4.91316600440645	3.65239565983618
Lib3barcode72	CalHV3	70	1	1	70	1	1	0		40	2.64077127384915	2.05529916150992
Lib3barcode73	CalHV3	37	1	1	37	1	1	0		40	9.04893799252792	6.41139238750096
Lib3barcode76	CalHV3	75	1	1	75	1	1	0		40	2.39230688868828	1.99803853136551
Lib3barcode80	AmacCMV|ApalCMV	111	2	2	111	2	2	0		40	1.58907388829567	1.3144803967128
Lib3barcode81	Cebus_albifrons_LCV1	106	1	1	106	1	1	0		40	1.71548086192065	1.28144492646339
Lib3barcode84	CalHV3	106	1	1	106	1	1	0		40	2.4955039259113	1.88352005464974
Lib3barcode85	CalHV3	115	1	1	115	1	1	0		40	1.47554789955054	1.13562545779029
Lib3barcode87	HSV7|H1_internal	33	2	2	33	2	2	0		40	16.0819240687949	5.53689125279939
Lib3barcode90	CalHV3	113	1	1	113	1	1	0		40	2.12495046885059	1.51284294830355
Lib3barcode92	CalHV3	50	1	1	50	1	1	0		40	4.08709420933958	3.91114035700187
