execution	target_label	comparable_columns	differences	divergence_consensus_reference_pct	identity_consensus_reference_pct	internal_gap_base_columns
Lib3barcode25	CalHV3	179	0	0	100	0
Lib3barcode26	CalHV3	179	6	3.35195530726257	96.6480446927374	0
Lib3barcode27	CalHV3	179	0	0	100	0
Lib3barcode31	CalHV3	179	0	0	100	0
Lib3barcode32	CalHV3	179	0	0	100	0
Lib3barcode33	CalHV3	155	0	0	100	0
Lib3barcode34	CalHV3	179	0	0	100	0
Lib3barcode35	CalHV3	179	0	0	100	0
Lib3barcode36	CalHV3	179	0	0	100	0
Lib3barcode37	CalHV3	179	0	0	100	0
Lib3barcode39	CalHV3	179	0	0	100	0
Lib3barcode45	CalHV3	179	0	0	100	0
Lib3barcode50	CalHV3	155	0	0	100	0
Lib3barcode53	CalHV3	179	0	0	100	0
Lib3barcode54	CalHV3	179	1	0.558659217877095	99.4413407821229	0
Lib3barcode57	CalHV3	179	0	0	100	0
Lib3barcode58	CalHV3	179	0	0	100	0
Lib3barcode60	CalHV3	179	0	0	100	0
Lib3barcode61	CalHV3	179	0	0	100	0
Lib3barcode62	CalHV3	179	0	0	100	0
Lib3barcode64	CalHV3	179	6	3.35195530726257	96.6480446927374	0
Lib3barcode67	CalHV3	179	0	0	100	0
Lib3barcode70	CalHV3	179	0	0	100	0
Lib3barcode71	CalHV3	179	1	0.558659217877095	99.4413407821229	0
Lib3barcode72	CalHV3	179	0	0	100	0
Lib3barcode73	CalHV3	179	1	0.558659217877095	99.4413407821229	0
Lib3barcode76	CalHV3	179	8	4.46927374301676	95.5307262569832	0
Lib3barcode80	AmacCMV	176	13	7.38636363636364	92.6136363636364	0
Lib3barcode80	ApalCMV	176	14	7.95454545454545	92.0454545454545	0
Lib3barcode81	Cebus_albifrons_LCV1	162	2	1.23456790123457	98.7654320987654	0
Lib3barcode84	CalHV3	179	0	0	100	0
Lib3barcode85	CalHV3	179	6	3.35195530726257	96.6480446927374	0
Lib3barcode87	HSV7	174	0	0	100	0
Lib3barcode87	H1_internal	165	0	0	100	0
Lib3barcode90	CalHV3	179	0	0	100	0
Lib3barcode92	CalHV3	179	0	0	100	0
