execution	reads_totais	media_original	mediana_original	moda_original	dp_original	minimo_original	maximo_original	q25_original	q75_original	reads_filtradas	reads_removidas	percentual_mantido	media_filtrada	mediana_filtrada	moda_filtrada	dp_filtrado	minimo_filtrado	maximo_filtrado	q25_filtrado	q75_filtrado	min_compr	max_compr
Lib2barcode66	3154	594.880786303107	454	324	470.365915274175	60	4377	296	758.25	1082	2072	34.3056436271401	298.697781885397	309	324	62.7966350044202	180	400	248	352	180	400
Lib2barcode67	986	595.580121703854	488.5	229	444.55768032669	68	4093	293.25	730.5	320	666	32.4543610547667	276.6625	248	229	66.5843220553733	181	400	223.75	336.25	180	400
Lib2barcode68	1990	484.171859296482	377	383	422.962226873215	53	3977	234	572	910	1080	45.7286432160804	303.007692307692	303	383	68.5967389314422	180	399	242	376	180	400
Lib2barcode69	1221	471.259623259623	362	171	360.193741923484	69	2507	221	598	495	726	40.5405405405405	289.109090909091	299	313	64.0677164070105	180	399	232.5	337.5	180	400
Lib2barcode70	848	292.257075471698	228	229	252.220322057858	55	4020	186	316	502	346	59.1981132075472	248.352589641434	229	229	50.0970832261858	180	400	220	269	180	400
Lib2barcode71	1743	391.687894434882	258	229	323.52259640903	52	2830	214	465	926	817	53.126792885829	258.138228941685	229	229	57.7105574368397	180	400	220	301	180	400
Lib2barcode72	1303	322.158864159632	230	229	268.3629356282	53	4502	205.5	376.5	778	525	59.7083653108212	254.344473007712	229	229	53.1040318599847	180	400	223	286.75	180	400
Lib2barcode73	2452	355.333197389886	250	229	277.697951184552	65	2822	196	423.25	1266	1186	51.6313213703099	262.781990521327	235	229	57.8564656379367	180	400	224	307	180	400
Lib2barcode74	2610	345.115325670498	254	220	266.022529706796	52	3489	184	390	1370	1240	52.4904214559387	278.832846715328	252	220	73.8651206070365	180	400	216	364.75	180	400
Lib2barcode75	2575	338.833786407767	289	228	223.58123427941	53	3629	195	426.5	1291	1284	50.1359223300971	280.006971340046	275	228	61.8571305713863	180	400	227	330	180	400
Lib2barcode76	749	356.906542056075	229	226	330.157277903019	51	3419	200	424	397	352	53.0040053404539	254.866498740554	226	226	57.1611651304788	180	400	222	287	180	400
Lib2barcode77	2361	302.644218551461	220	220	220.204261053832	55	1918	174	371	1250	1111	52.9436679373147	254.9096	222	220	62.2206923739007	180	400	212	300	180	400
Lib2barcode78	6485	385.850578257517	316	383	384.114133055777	56	6291	201	386	3736	2749	57.6098689282961	304.735546038544	307.5	383	69.089943356141	180	400	241	376	180	400
Lib2barcode79	2369	447.04685521317	314	229	404.594886120188	57	4088	217	531	1120	1249	47.2773322076826	268.7875	243.5	229	60.7315503010259	180	400	224	319	180	400
Lib2barcode80	392	548.533163265306	401	227	470.47962568136	70	4190	263.5	683	142	250	36.2244897959184	298.661971830986	304	227	59.4914484973366	183	397	253.5	347.5	180	400
Lib2barcode81	2655	417.669303201507	244	214	399.877807093564	57	4718	203	493	1399	1256	52.6930320150659	246.684774839171	214	214	59.2449993404976	180	400	208	287	180	400
Lib2barcode82	1243	338.701528559936	225	226	302.080171753698	53	3809	202	386	719	524	57.8439259855189	245.091794158554	223	226	53.9964914467527	180	399	214	261.5	180	400
Lib2barcode83	1460	461.757534246575	280.5	220	448.922177476805	60	5377	212	566	708	752	48.4931506849315	253.974576271186	224	220	60.1688752892094	180	400	214	295	180	400
Lib2barcode84	731	510.689466484268	367	222	449.412158678807	64	4368	221	635	288	443	39.3980848153215	268.673611111111	246	222	61.3003492678787	181	400	219	316.25	180	400
Lib2barcode85	719	393.944367176634	260	228	346.807862193908	63	3291	214.5	478	372	347	51.7385257301808	256.465053763441	228.5	228	55.6078526542476	180	399	221	295.5	180	400
Lib2barcode86	1248	515.199519230769	331.5	229	508.549000650202	66	4620	226	613.5	606	642	48.5576923076923	268.678217821782	234.5	229	62.496416458922	180	400	224	318	180	400
Lib2barcode87	361	391.407202216066	259	228	352.408621494338	65	2886	220	471	192	169	53.185595567867	260.859375	229	228	58.8304513486855	183	400	224	298	180	400
Lib2barcode88	884	239.237556561086	162	105	204.540470824532	53	2375	116	300.25	272	612	30.7692307692308	271.794117647059	270	186	62.7990548789034	180	400	213.75	315	180	400
Lib2barcode89	1494	241.843373493976	222	229	235.854686024873	62	6471	151	232	868	626	58.09906291834	238.091013824885	228	229	41.5151868365219	180	400	218.75	235	180	400
